,Result
15917,1
20378,1
1698,0
1864,0
15093,1
4059,0
2511,0
2797,0
12645,0
11132,0
14422,0
24259,1
21064,1
21636,1
24071,1
19687,1
14091,0
10239,0
1119,0
12179,0
27085,1
11433,0
22346,1
4107,0
228,0
24389,1
21327,1
20366,1
4426,0
3724,0
14941,1
16763,1
6750,0
26654,1
5408,0
23737,1
718,0
26570,1
2794,0
20806,1
3860,0
3054,0
2466,0
17777,1
9942,0
13424,0
4045,0
13599,0
8416,0
18759,1
29020,1
11635,0
7512,0
1696,0
3957,0
8398,0
12433,0
19992,1
16181,1
20603,1
28425,1
5261,0
15963,1
4976,0
24061,1
6688,0
21485,1
22947,1
5645,0
3892,0
12128,0
16938,1
2560,0
25238,1
27180,1
3142,0
20178,1
937,0
10099,0
8847,0
7661,0
681,0
28348,1
23616,1
1624,0
11009,0
7437,0
20950,1
5169,0
23640,1
14758,1
11999,0
11561,0
10109,0
10366,0
11747,0
11618,0
23557,1
23111,1
10747,0
23268,1
26831,1
5395,0
4519,0
7135,0
7538,0
21249,1
11284,0
6451,0
19340,1
21829,1
857,0
19978,1
3647,0
10087,0
10055,0
10290,0
8531,0
2557,0
17905,1
6859,0
5297,0
5160,0
528,0
6595,0
13312,0
2708,0
10203,0
1456,0
23415,1
13842,0
8667,0
8076,0
24433,1
11279,0
12949,0
17835,1
28508,1
3149,0
639,0
11272,0
11313,0
1249,0
5416,0
21259,1
4872,0
21263,1
7302,0
5133,0
7646,0
906,0
28642,1
19145,1
18541,1
16786,1
14240,0
3167,0
4942,0
21878,1
4991,0
17674,1
4105,0
1426,0
23420,1
17178,1
26954,1
10564,0
6027,0
25719,1
3931,0
446,0
23609,1
12618,0
20315,1
15762,1
15696,1
8011,0
17353,1
13230,0
15361,1
4842,0
2636,0
5319,0
28928,1
9725,0
16244,1
22672,1
29235,1
3596,0
25589,1
12490,0
8727,0
23197,1
21160,1
11584,0
3148,0
28509,1
6085,0
13625,0
397,0
2337,0
5978,0
6696,0
22872,1
790,0
20701,1
27852,1
8330,0
13774,0
7737,0
29011,1
21716,1
14124,0
6360,0
17801,1
11017,0
27627,1
16985,1
27726,1
19259,1
27391,1
16413,1
4208,0
17949,1
13885,0
931,0
21809,1
26738,1
24962,1
2784,0
12798,0
21685,1
28836,1
22759,1
18294,1
14232,0
17745,1
25441,1
19496,1
23404,1
14581,0
17778,1
19511,1
28589,1
8247,0
27543,1
26710,1
1092,0
25271,1
2266,0
20931,1
14018,0
17978,1
18636,1
3761,0
955,0
24748,1
16788,1
23098,1
21232,1
7703,0
12568,0
9522,0
12112,0
20011,1
14637,1
14442,0
22020,1
18918,1
4973,0
26986,1
431,0
28846,1
16146,1
17822,1
27418,1
14672,1
19158,1
27530,1
22485,1
27073,1
23604,1
7376,0
23743,1
21269,1
15522,1
20637,1
24762,1
8577,0
23572,1
19693,1
18777,1
28075,1
21372,1
26222,1
18766,1
20725,1
22740,1
5733,0
1382,0
20284,1
21469,1
11613,0
24662,1
8711,0
21712,1
7763,0
22188,1
8196,0
16224,1
16730,1
11454,0
11656,0
19704,1
11934,0
15108,1
8687,0
3187,0
23748,1
9488,0
26490,1
3924,0
10846,0
12899,0
21314,1
1551,0
26107,1
28125,1
1304,0
16085,1
21047,1
27122,1
21122,1
25268,1
2840,0
13951,0
25150,1
4399,0
10422,0
8899,0
6678,0
20809,1
13005,0
21400,1
25835,1
1357,0
9191,0
3484,0
22591,1
8444,0
8937,0
9381,0
6439,0
14416,0
27195,1
20229,1
28875,1
13250,0
21914,1
5751,0
17461,1
2640,0
7993,0
29267,1
936,0
7166,0
2237,0
19392,1
6907,0
16462,1
10188,0
17117,1
12368,0
24161,1
15834,1
5800,0
22055,1
5464,0
4181,0
17803,1
16912,1
19919,1
20857,1
17585,1
27465,1
16910,1
6087,0
27201,1
6485,0
10757,0
6751,0
1699,0
29324,1
25542,1
28029,1
3909,0
10609,0
1630,0
5151,0
8953,0
28131,1
9884,0
7388,0
25078,1
2880,0
3998,0
16538,1
15346,1
12794,0
2658,0
10536,0
25408,1
11024,0
12419,0
3306,0
482,0
23488,1
28308,1
10420,0
15819,1
7099,0
27145,1
1444,0
26171,1
15159,1
18278,1
18811,1
19891,1
10025,0
12221,0
29035,1
20081,1
14604,0
20064,1
26346,1
29062,1
23484,1
21883,1
13197,0
16498,1
9976,0
7994,0
25841,1
10923,0
24084,1
13690,0
5449,0
15818,1
4193,0
4929,0
854,0
8186,0
22012,1
1783,0
6551,0
6542,0
25500,1
4633,0
9289,0
4949,0
4688,0
17057,1
7297,0
21189,1
19631,1
16577,1
4118,0
5030,0
26128,1
3241,0
12149,0
28235,1
21733,1
11979,0
23569,1
14961,1
6346,0
11362,0
19970,1
2094,0
20939,1
16445,1
19470,1
3169,0
17001,1
13270,0
17816,1
4050,0
12130,0
29044,1
15321,1
7787,0
11666,0
10630,0
4350,0
22208,1
12860,0
3669,0
20664,1
19376,1
20904,1
26757,1
28709,1
16848,1
15384,1
27330,1
3693,0
15326,1
2061,0
5498,0
5120,0
2308,0
15301,1
18077,1
8065,0
15925,1
20275,1
18210,1
18086,1
19196,1
26025,1
22302,1
9233,0
17678,1
28977,1
27434,1
15376,1
9018,0
10758,0
6309,0
21757,1
10987,0
25930,1
2148,0
16976,1
4299,0
18106,1
17602,1
14987,1
17321,1
13094,0
15154,1
20937,1
28721,1
13159,0
11715,0
19840,1
24705,1
21135,1
19009,1
8227,0
14262,0
21264,1
23476,1
9141,0
7576,0
4741,0
4551,0
20283,1
19463,1
19644,1
21973,1
2649,0
12315,0
4742,0
13532,0
12068,0
6330,0
11550,0
25776,1
3200,0
24987,1
22935,1
13174,0
20645,1
22749,1
12565,0
1555,0
1884,0
26211,1
13922,0
21669,1
27932,1
26255,1
15561,1
23127,1
21336,1
2826,0
28140,1
22736,1
15438,1
5196,0
25859,1
18240,1
17052,1
17729,1
8505,0
8064,0
15230,1
27827,1
17592,1
26391,1
24271,1
6053,0
14857,1
15334,1
18799,1
2722,0
12751,0
26103,1
2842,0
10810,0
1427,0
6413,0
26640,1
19478,1
3845,0
19623,1
14342,0
13609,0
13995,0
26471,1
17119,1
20224,1
25979,1
21103,1
4229,0
3075,0
4705,0
17351,1
10944,0
5568,0
19344,1
26136,1
2888,0
4125,0
16769,1
5417,0
23562,1
28485,1
17951,1
20941,1
26230,1
29219,1
4130,0
3791,0
23952,1
19377,1
9217,0
1076,0
19726,1
12349,0
16713,1
8484,0
525,0
28143,1
4722,0
25125,1
22287,1
3022,0
1577,0
27419,1
549,0
25620,1
8675,0
8403,0
8182,0
28769,1
10866,0
23346,1
5803,0
8765,0
21085,1
14467,0
22178,1
27186,1
14659,1
2559,0
27047,1
25598,1
8840,0
8931,0
8451,0
4509,0
24940,1
12703,0
11690,0
15536,1
29304,1
29247,1
25216,1
5836,0
24215,1
8984,0
15118,1
4590,0
17544,1
21578,1
16205,1
9646,0
22336,1
21098,1
5230,0
4089,0
24864,1
20455,1
23157,1
12273,0
22204,1
13722,0
6067,0
29045,1
14883,1
28450,1
14042,0
6131,0
11129,0
18298,1
13107,0
10114,0
21226,1
20302,1
9968,0
14571,0
28023,1
15201,1
10018,0
21364,1
3872,0
23526,1
25722,1
19502,1
13655,0
26140,1
16408,1
26097,1
16079,1
13792,0
1828,0
17144,1
13117,0
8662,0
26907,1
2447,0
10908,0
23777,1
23730,1
20262,1
22523,1
1839,0
4637,0
18845,1
19645,1
22808,1
14302,0
3853,0
25671,1
23118,1
6648,0
21823,1
11569,0
21430,1
25333,1
12666,0
5931,0
11014,0
27727,1
13499,0
26321,1
5083,0
13320,0
10192,0
23147,1
2261,0
6967,0
8085,0
29171,1
8880,0
16555,1
5180,0
13341,0
5754,0
11415,0
24850,1
6965,0
4410,0
15072,1
9341,0
7629,0
24825,1
29123,1
5159,0
27464,1
7409,0
7800,0
19500,1
10639,0
4368,0
23888,1
14341,0
12025,0
13648,0
25815,1
28230,1
1003,0
24113,1
7483,0
10457,0
7171,0
10539,0
28760,1
5818,0
28976,1
19762,1
24880,1
12346,0
21126,1
11502,0
5676,0
13457,0
16512,1
7476,0
22483,1
17165,1
26450,1
12406,0
28823,1
12056,0
12632,0
14246,0
28234,1
3369,0
22365,1
6006,0
29041,1
15952,1
2542,0
6109,0
29012,1
5957,0
19050,1
27029,1
20614,1
21952,1
8542,0
26827,1
22798,1
15921,1
4041,0
26681,1
18146,1
3690,0
16701,1
6244,0
9604,0
26595,1
18735,1
1476,0
26153,1
7430,0
24235,1
9570,0
23178,1
15375,1
5849,0
5825,0
12482,0
9118,0
2570,0
20791,1
1268,0
9105,0
8884,0
21822,1
24949,1
7068,0
15113,1
5939,0
1813,0
20964,1
12664,0
18075,1
16190,1
19624,1
2543,0
6869,0
16271,1
13756,0
412,0
1729,0
28937,1
10476,0
19445,1
11068,0
19437,1
1441,0
15519,1
15156,1
21105,1
16749,1
28461,1
10800,0
22842,1
19191,1
3917,0
18352,1
26732,1
1013,0
20386,1
10086,0
20982,1
11176,0
26176,1
5745,0
19107,1
15443,1
25443,1
1436,0
13150,0
15122,1
26041,1
3246,0
19512,1
12332,0
11971,0
3880,0
28512,1
685,0
12225,0
15281,1
9743,0
16309,1
27687,1
13516,0
24227,1
287,0
9272,0
15491,1
21051,1
19843,1
24437,1
546,0
9226,0
10701,0
348,0
28902,1
13668,0
18450,1
23934,1
11570,0
2644,0
6260,0
25134,1
669,0
16502,1
24502,1
19094,1
6416,0
14162,0
24328,1
13326,0
26305,1
4743,0
11625,0
20596,1
7881,0
21700,1
22626,1
14297,0
2193,0
18164,1
28174,1
7796,0
10997,0
24035,1
23552,1
20756,1
15294,1
13304,0
6816,0
9227,0
4184,0
20923,1
7547,0
7694,0
6984,0
6939,0
11364,0
4362,0
10042,0
18090,1
17829,1
26871,1
2423,0
3144,0
27774,1
2919,0
11064,0
26458,1
1793,0
12297,0
5863,0
9899,0
14798,1
13057,0
8818,0
16635,1
11375,0
7600,0
18953,1
21202,1
13070,0
4554,0
21365,1
23843,1
28103,1
23024,1
10794,0
11247,0
15785,1
27790,1
28442,1
7194,0
22367,1
6414,0
16943,1
2647,0
18374,1
7819,0
1232,0
27407,1
24731,1
2455,0
18844,1
17943,1
3508,0
21084,1
22247,1
18645,1
6575,0
22227,1
26794,1
14952,1
26782,1
29329,1
19808,1
20165,1
23492,1
15935,1
4628,0
10791,0
988,0
6999,0
6945,0
1315,0
7109,0
5480,0
17255,1
9535,0
18135,1
6493,0
171,0
21676,1
21445,1
14428,0
10749,0
8534,0
18602,1
23678,1
25798,1
26517,1
8311,0
24656,1
15512,1
27770,1
3118,0
459,0
10174,0
4343,0
7453,0
1396,0
7591,0
7586,0
15042,1
17252,1
11123,0
13816,0
23191,1
25058,1
28070,1
13988,0
1886,0
23444,1
26349,1
17259,1
2758,0
2249,0
15718,1
10964,0
2877,0
25646,1
27015,1
20994,1
23969,1
23089,1
5921,0
6082,0
23338,1
9587,0
21711,1
3214,0
777,0
3630,0
13566,0
28007,1
28685,1
16653,1
8382,0
6682,0
17532,1
21632,1
25863,1
24386,1
15287,1
27079,1
26859,1
23014,1
16852,1
5490,0
20509,1
26546,1
28504,1
4800,0
26951,1
9184,0
8573,0
18741,1
18326,1
7907,0
2587,0
4737,0
3432,0
20779,1
8979,0
28688,1
22491,1
28772,1
923,0
2253,0
24238,1
21374,1
19937,1
11784,0
7050,0
25138,1
23083,1
18852,1
11236,0
9848,0
26196,1
19420,1
3084,0
23786,1
26188,1
5450,0
16954,1
6893,0
9676,0
4402,0
25435,1
26105,1
25603,1
10257,0
25805,1
417,0
7835,0
9796,0
1743,0
1093,0
21272,1
28809,1
3438,0
16089,1
23323,1
11307,0
5780,0
96,0
9136,0
18583,1
15128,1
16228,1
10206,0
15212,1
3806,0
12116,0
18841,1
13063,0
8645,0
19458,1
12550,0
23266,1
7105,0
2541,0
3557,0
16252,1
28857,1
10601,0
28753,1
12476,0
3305,0
17487,1
18254,1
23975,1
25232,1
25919,1
13511,0
29039,1
2959,0
10622,0
785,0
12880,0
28218,1
3093,0
27222,1
16013,1
21462,1
621,0
27237,1
23272,1
20821,1
1678,0
6832,0
16133,1
5225,0
7795,0
16844,1
27609,1
8713,0
18578,1
2002,0
22155,1
18794,1
9190,0
4134,0
12385,0
16208,1
3795,0
16160,1
23039,1
5031,0
18772,1
14700,1
17683,1
1015,0
23497,1
2340,0
10719,0
10966,0
9204,0
1027,0
15180,1
10726,0
23862,1
7154,0
1826,0
28190,1
22835,1
2258,0
23438,1
25261,1
16193,1
5438,0
21172,1
8524,0
5548,0
12319,0
6252,0
485,0
11764,0
575,0
24384,1
20104,1
3471,0
5063,0
8965,0
22281,1
27071,1
27096,1
17249,1
17107,1
275,0
15328,1
21081,1
15660,1
27406,1
6323,0
11831,0
3786,0
13643,0
6605,0
1006,0
23460,1
18448,1
11200,0
5371,0
11575,0
5023,0
8776,0
19836,1
13864,0
27975,1
15205,1
11352,0
10870,0
4140,0
14415,0
4128,0
22264,1
22181,1
18128,1
14001,0
17603,1
24599,1
14609,0
1982,0
28539,1
14789,1
11320,0
2817,0
24485,1
8313,0
18454,1
6752,0
3960,0
4646,0
13013,0
8724,0
1542,0
22851,1
5743,0
10518,0
28665,1
19045,1
12,0
8533,0
11026,0
13563,0
18478,1
27135,1
1410,0
16541,1
28602,1
15207,1
16304,1
10369,0
26533,1
4828,0
12336,0
20181,1
18359,1
20503,1
14979,1
24228,1
12681,0
17751,1
5401,0
1212,0
18908,1
2211,0
11233,0
26491,1
23012,1
19608,1
4250,0
9147,0
20219,1
6312,0
4534,0
13315,0
18445,1
7183,0
17593,1
7004,0
25481,1
8077,0
866,0
13360,0
16624,1
8224,0
28955,1
20236,1
27788,1
7663,0
22444,1
17195,1
6523,0
9021,0
24431,1
17805,1
1818,0
2860,0
20838,1
23016,1
22275,1
26045,1
15337,1
24798,1
16996,1
28644,1
14716,1
29132,1
12946,0
15609,1
20026,1
1727,0
25503,1
9766,0
2806,0
16694,1
26357,1
28708,1
14731,1
21935,1
9858,0
11000,0
9806,0
24902,1
16302,1
15942,1
9685,0
14833,1
15586,1
16953,1
17407,1
2653,0
9579,0
10423,0
959,0
24452,1
9403,0
24904,1
19161,1
21029,1
7051,0
10988,0
23125,1
9971,0
8843,0
27517,1
26303,1
20953,1
22700,1
5673,0
10897,0
9530,0
20050,1
20351,1
8659,0
398,0
3687,0
8062,0
4934,0
1668,0
13319,0
3151,0
17331,1
8695,0
1191,0
22017,1
17652,1
17554,1
21235,1
10317,0
7440,0
24208,1
13126,0
19598,1
14683,1
5882,0
17909,1
24401,1
4270,0
2465,0
1844,0
8458,0
20309,1
26055,1
2017,0
7410,0
11970,0
11676,0
3775,0
7491,0
26054,1
24642,1
16262,1
14432,0
16529,1
25136,1
3866,0
5537,0
12024,0
4917,0
20676,1
26520,1
24575,1
26475,1
3649,0
22914,1
18870,1
23674,1
27051,1
507,0
25640,1
18134,1
21424,1
22039,1
4171,0
28534,1
24476,1
2385,0
26524,1
21542,1
18425,1
10910,0
8912,0
10024,0
5422,0
23542,1
6094,0
6035,0
10349,0
19359,1
2692,0
8891,0
9623,0
29055,1
11339,0
21367,1
5932,0
11091,0
24340,1
14900,1
5621,0
17256,1
4671,0
16180,1
2539,0
3446,0
23689,1
18147,1
3385,0
5831,0
22000,1
13037,0
28666,1
13489,0
19719,1
6960,0
18467,1
24629,1
949,0
10965,0
12945,0
9157,0
19167,1
13483,0
13029,0
17108,1
2063,0
3444,0
17099,1
27342,1
23102,1
22145,1
21629,1
365,0
20086,1
20092,1
6894,0
2439,0
4023,0
1846,0
6718,0
27903,1
17780,1
12715,0
12938,0
24900,1
15395,1
8596,0
8816,0
24901,1
1377,0
12038,0
19073,1
11628,0
20131,1
1874,0
25465,1
13119,0
590,0
13629,0
1784,0
5734,0
26378,1
21090,1
24143,1
11208,0
14259,0
389,0
17071,1
16842,1
21918,1
9518,0
16828,1
13466,0
23406,1
6497,0
6452,0
17785,1
28498,1
23643,1
2056,0
8635,0
28695,1
4489,0
2774,0
19596,1
21557,1
22321,1
5256,0
16268,1
9958,0
11598,0
989,0
21094,1
25194,1
15569,1
18062,1
11560,0
24356,1
13391,0
28344,1
4887,0
27290,1
12787,0
11790,0
719,0
28784,1
12726,0
3315,0
10580,0
15054,1
7658,0
1574,0
4126,0
26381,1
29149,1
19563,1
16172,1
15101,1
6938,0
23439,1
22279,1
14837,1
26893,1
94,0
15651,1
17702,1
8936,0
1732,0
4970,0
18223,1
6901,0
21056,1
14712,1
1102,0
19382,1
1519,0
16364,1
11987,0
15615,1
15531,1
22433,1
4475,0
3634,0
11356,0
27151,1
28655,1
27329,1
15024,1
25088,1
20377,1
4840,0
9474,0
567,0
15810,1
28036,1
5086,0
7149,0
28253,1
20680,1
5629,0
19421,1
10103,0
6372,0
23573,1
21597,1
19354,1
13707,0
14104,0
6577,0
124,0
9642,0
15677,1
3651,0
22849,1
19858,1
4012,0
13554,0
4300,0
20054,1
2108,0
11058,0
5998,0
474,0
2525,0
26334,1
28285,1
1593,0
7924,0
27258,1
1539,0
9986,0
18288,1
17115,1
16387,1
20714,1
15520,1
21574,1
28908,1
21900,1
15807,1
6964,0
20592,1
26701,1
6532,0
9248,0
11517,0
24164,1
1990,0
16639,1
6830,0
4549,0
20612,1
17288,1
12991,0
23019,1
27759,1
23465,1
8220,0
4179,0
950,0
17396,1
21516,1
5375,0
4405,0
26906,1
24530,1
12354,0
13271,0
14855,1
6291,0
15216,1
17993,1
5419,0
18966,1
11469,0
23225,1
4846,0
28291,1
1290,0
8793,0
27950,1
26135,1
27989,1
28738,1
10626,0
14607,0
8420,0
27353,1
16156,1
22731,1
28540,1
18666,1
5071,0
24765,1
4510,0
21257,1
15204,1
8671,0
2974,0
6217,0
10468,0
19323,1
11207,0
3804,0
369,0
15292,1
1150,0
16580,1
5512,0
3380,0
6713,0
20776,1
19324,1
8116,0
22753,1
18862,1
23095,1
10759,0
2533,0
764,0
6591,0
24257,1
21961,1
21764,1
25226,1
27927,1
2149,0
24785,1
1008,0
21476,1
23124,1
26016,1
22577,1
22421,1
27261,1
20591,1
19729,1
18100,1
3068,0
27970,1
2486,0
12586,0
15096,1
9288,0
17565,1
5555,0
11225,0
11969,0
22594,1
19913,1
8574,0
8512,0
19469,1
12313,0
11515,0
21834,1
23493,1
23264,1
119,0
11486,0
13187,0
14153,0
17852,1
14264,0
26221,1
19155,1
12048,0
19908,1
24291,1
15142,1
5284,0
22643,1
6730,0
26855,1
15263,1
9539,0
5478,0
562,0
25019,1
25861,1
12692,0
1666,0
2278,0
27023,1
14718,1
323,0
12417,0
27278,1
21770,1
2144,0
21414,1
9430,0
26124,1
5066,0
6314,0
6974,0
15429,1
16068,1
26434,1
20581,1
9034,0
24371,1
20893,1
3260,0
8949,0
25587,1
2973,0
3462,0
4312,0
17224,1
13705,0
23524,1
15884,1
10156,0
5892,0
13436,0
22221,1
379,0
7003,0
27634,1
24650,1
13709,0
15760,1
23959,1
23935,1
2201,0
19699,1
15733,1
17495,1
7896,0
7061,0
12984,0
15605,1
26548,1
28437,1
10447,0
4065,0
12928,0
28248,1
114,0
3414,0
10667,0
29053,1
12140,0
4708,0
19170,1
1998,0
15797,1
21537,1
12911,0
4416,0
1744,0
27078,1
3461,0
20880,1
29220,1
25594,1
7176,0
4961,0
1136,0
600,0
11685,0
4335,0
29310,1
22655,1
6800,0
735,0
16477,1
22477,1
13142,0
19817,1
2154,0
13268,0
27696,1
6052,0
2870,0
17713,1
14702,1
15634,1
20263,1
8733,0
3110,0
19031,1
18227,1
773,0
22285,1
20861,1
20947,1
12000,0
3874,0
20817,1
20778,1
11865,0
20551,1
15564,1
5977,0
24031,1
29124,1
8487,0
24137,1
248,0
1640,0
28896,1
10939,0
26156,1
8368,0
6313,0
8807,0
18368,1
6647,0
15601,1
25709,1
26298,1
13535,0
19555,1
27936,1
10714,0
17641,1
5567,0
11080,0
19343,1
15092,1
17409,1
25316,1
11312,0
29107,1
2736,0
22022,1
25211,1
22018,1
16039,1
842,0
17566,1
3099,0
6619,0
4724,0
27623,1
26219,1
10881,0
22705,1
11093,0
8265,0
19085,1
22552,1
21186,1
24925,1
23391,1
19562,1
24092,1
15502,1
3381,0
15941,1
17043,1
27479,1
8234,0
18139,1
10993,0
25995,1
21962,1
4715,0
6287,0
1454,0
18971,1
126,0
16052,1
8012,0
1894,0
7027,0
14650,1
663,0
4391,0
23483,1
13780,0
14885,1
4322,0
23864,1
7382,0
13869,0
10546,0
23649,1
13791,0
12810,0
19476,1
7074,0
21161,1
15148,1
17182,1
21827,1
1939,0
17456,1
195,0
16356,1
3572,0
23565,1
12042,0
5211,0
15618,1
27200,1
5942,0
5356,0
11856,0
25900,1
27257,1
4474,0
8100,0
2449,0
12557,0
23533,1
18266,1
22865,1
27753,1
28837,1
7789,0
10492,0
2494,0
23395,1
28309,1
20248,1
20458,1
7123,0
13519,0
4346,0
20271,1
9953,0
1576,0
14372,0
17527,1
17644,1
5048,0
28081,1
27527,1
10493,0
2808,0
14038,0
29223,1
19774,1
23679,1
28164,1
426,0
4154,0
4236,0
8115,0
1317,0
9647,0
11923,0
1600,0
27470,1
27346,1
8344,0
25047,1
11695,0
19588,1
18111,1
13596,0
3053,0
16053,1
27541,1
18089,1
15529,1
11468,0
686,0
7816,0
345,0
8523,0
10643,0
25003,1
9297,0
11031,0
10191,0
9696,0
16454,1
29130,1
18285,1
28998,1
11043,0
25032,1
5468,0
24832,1
789,0
29131,1
7552,0
11485,0
1030,0
11244,0
6602,0
27248,1
27019,1
322,0
6283,0
18247,1
18912,1
19714,1
19768,1
14334,0
2712,0
6458,0
24248,1
22532,1
10632,0
27683,1
3320,0
3725,0
13181,0
27474,1
8868,0
6366,0
21795,1
8435,0
1367,0
24455,1
23834,1
26161,1
28145,1
26716,1
9429,0
7969,0
18432,1
10935,0
5036,0
3883,0
16446,1
15404,1
14295,0
27957,1
8046,0
5890,0
20429,1
19493,1
27594,1
6200,0
13912,0
4869,0
11612,0
26319,1
23873,1
26264,1
7141,0
261,0
11927,0
11545,0
20232,1
4074,0
16497,1
14984,1
23274,1
25989,1
6162,0
21006,1
7883,0
11683,0
18806,1
26466,1
7318,0
7259,0
22295,1
1352,0
11526,0
15058,1
10732,0
12997,0
23879,1
19577,1
21976,1
5835,0
27581,1
20090,1
13050,0
23967,1
9945,0
6240,0
10094,0
8522,0
21986,1
27369,1
23260,1
26692,1
20969,1
2755,0
23781,1
8536,0
19751,1
12702,0
23854,1
27213,1
7509,0
13757,0
22642,1
1455,0
27245,1
18439,1
25763,1
17458,1
15544,1
5005,0
2010,0
10245,0
15749,1
14220,0
20506,1
13459,0
8418,0
16849,1
13024,0
3261,0
908,0
18836,1
18653,1
6357,0
26356,1
2049,0
10474,0
21046,1
17297,1
14915,1
20522,1
16347,1
14968,1
25985,1
23079,1
23088,1
15741,1
16995,1
8768,0
20782,1
15886,1
1469,0
5421,0
24119,1
23298,1
25024,1
25543,1
5357,0
21279,1
10046,0
18474,1
12094,0
16731,1
22678,1
21873,1
21841,1
64,0
26348,1
10263,0
9763,0
28897,1
17595,1
23033,1
16925,1
22614,1
27234,1
22684,1
28842,1
24298,1
3586,0
9981,0
14449,0
25417,1
14078,0
22619,1
10605,0
15580,1
18747,1
12706,0
25658,1
24337,1
28377,1
7799,0
11961,0
14097,0
25774,1
18507,1
7757,0
20348,1
422,0
20769,1
4256,0
10166,0
28261,1
25935,1
23941,1
2781,0
4977,0
6712,0
26270,1
26043,1
11267,0
13081,0
15487,1
23353,1
22994,1
16335,1
16005,1
12143,0
24678,1
25364,1
17890,1
12699,0
29158,1
23660,1
9872,0
2863,0
26115,1
27510,1
22378,1
13588,0
3955,0
21957,1
13152,0
1462,0
7871,0
14465,0
3561,0
1709,0
26731,1
19695,1
13083,0
13444,0
11718,0
19509,1
15880,1
15392,1
23870,1
29289,1
21919,1
27033,1
25000,1
13968,0
6477,0
905,0
18063,1
18692,1
20712,1
17157,1
15095,1
2879,0
3136,0
25001,1
2812,0
22973,1
6156,0
3243,0
9143,0
17895,1
16494,1
16958,1
7337,0
13615,0
3179,0
20930,1
27755,1
17538,1
20851,1
19092,1
5714,0
3378,0
29330,1
11278,0
5937,0
3993,0
11946,0
1133,0
15186,1
9214,0
3896,0
29096,1
11154,0
14112,0
28350,1
22621,1
8572,0
4520,0
8558,0
1108,0
2262,0
25866,1
4226,0
23443,1
13434,0
17462,1
8718,0
7901,0
1771,0
21286,1
23704,1
21369,1
24040,1
21833,1
6181,0
27561,1
12850,0
26260,1
1881,0
19676,1
27864,1
9801,0
21446,1
20015,1
5428,0
16598,1
18148,1
3037,0
24719,1
27725,1
15839,1
22493,1
25575,1
8646,0
28057,1
13438,0
14059,0
23276,1
14627,0
14305,0
28286,1
26008,1
17425,1
17169,1
4234,0
3078,0
14529,0
5492,0
24160,1
21860,1
15229,1
